[2026-09-18T09:06:14.562+00:00] PID:2440456 CPU:NA% RSS_KIB:1920 MEM:0.01207% STATE:R THREADS:1 WCHAN:p9_client_rpc
[2026-09-18T09:06:15.066+00:00] PID:2440456 CPU:7.96% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:15.066+00:00] PID:2440463 CPU:NA% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:15.569+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:15.570+00:00] PID:2440463 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:16.072+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:16.072+00:00] PID:2440463 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:16.575+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:16.576+00:00] PID:2440463 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:17.078+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:17.078+00:00] PID:2440463 CPU:3.98% RSS_KIB:43264 MEM:0.27207% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:17.580+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:17.581+00:00] PID:2440463 CPU:0.00% RSS_KIB:43264 MEM:0.27207% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:18.083+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:18.083+00:00] PID:2440463 CPU:0.00% RSS_KIB:43264 MEM:0.27207% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:18.585+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:18.586+00:00] PID:2440463 CPU:0.00% RSS_KIB:43264 MEM:0.27207% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:19.088+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:19.088+00:00] PID:2440463 CPU:0.00% RSS_KIB:43264 MEM:0.27207% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:19.590+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:19.591+00:00] PID:2440463 CPU:0.00% RSS_KIB:43264 MEM:0.27207% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:20.093+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:20.094+00:00] PID:2440463 CPU:3.98% RSS_KIB:68864 MEM:0.43306% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:20.596+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:20.597+00:00] PID:2440463 CPU:0.00% RSS_KIB:68864 MEM:0.43306% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:21.100+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:21.100+00:00] PID:2440463 CPU:0.00% RSS_KIB:68864 MEM:0.43306% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:21.603+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:21.604+00:00] PID:2440463 CPU:0.00% RSS_KIB:68864 MEM:0.43306% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:22.106+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:22.106+00:00] PID:2440463 CPU:0.00% RSS_KIB:68864 MEM:0.43306% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:22.608+00:00] PID:2440456 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:22.609+00:00] PID:2440463 CPU:0.00% RSS_KIB:68864 MEM:0.43306% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:23.111+00:00] EVENT:PROCESS_EXITED
