[2026-09-18T09:06:43.162+00:00] PID:2440962 CPU:NA% RSS_KIB:1920 MEM:0.01207% STATE:D THREADS:1 WCHAN:0
[2026-09-18T09:06:43.664+00:00] PID:2440962 CPU:7.97% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:43.664+00:00] PID:2440969 CPU:NA% RSS_KIB:17904 MEM:0.11259% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:44.166+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:44.166+00:00] PID:2440969 CPU:0.00% RSS_KIB:17904 MEM:0.11259% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:44.668+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:44.669+00:00] PID:2440969 CPU:0.00% RSS_KIB:17904 MEM:0.11259% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:45.172+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:45.172+00:00] PID:2440969 CPU:0.00% RSS_KIB:17904 MEM:0.11259% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:45.675+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:45.676+00:00] PID:2440969 CPU:3.98% RSS_KIB:43504 MEM:0.27358% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:46.178+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:46.178+00:00] PID:2440969 CPU:0.00% RSS_KIB:43504 MEM:0.27358% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:46.680+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:46.681+00:00] PID:2440969 CPU:0.00% RSS_KIB:43504 MEM:0.27358% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:47.183+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:47.183+00:00] PID:2440969 CPU:0.00% RSS_KIB:43504 MEM:0.27358% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:47.685+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:47.686+00:00] PID:2440969 CPU:0.00% RSS_KIB:43504 MEM:0.27358% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:48.188+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:48.188+00:00] PID:2440969 CPU:0.00% RSS_KIB:43504 MEM:0.27358% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:48.690+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:48.690+00:00] PID:2440969 CPU:1.99% RSS_KIB:69104 MEM:0.43456% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:49.193+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:49.194+00:00] PID:2440969 CPU:0.00% RSS_KIB:69104 MEM:0.43456% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:49.697+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:49.697+00:00] PID:2440969 CPU:0.00% RSS_KIB:69104 MEM:0.43456% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:50.199+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:50.200+00:00] PID:2440969 CPU:0.00% RSS_KIB:69104 MEM:0.43456% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:50.703+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:50.703+00:00] PID:2440969 CPU:0.00% RSS_KIB:69104 MEM:0.43456% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:51.206+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:51.206+00:00] PID:2440969 CPU:0.00% RSS_KIB:69104 MEM:0.43456% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:51.709+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:51.709+00:00] PID:2440969 CPU:3.98% RSS_KIB:94704 MEM:0.59555% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:52.211+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:52.212+00:00] PID:2440969 CPU:0.00% RSS_KIB:94704 MEM:0.59555% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:52.714+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:52.714+00:00] PID:2440969 CPU:0.00% RSS_KIB:94704 MEM:0.59555% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:53.218+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:53.219+00:00] PID:2440969 CPU:0.00% RSS_KIB:94704 MEM:0.59555% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:53.721+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:53.722+00:00] PID:2440969 CPU:0.00% RSS_KIB:94704 MEM:0.59555% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:54.224+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:54.224+00:00] PID:2440969 CPU:0.00% RSS_KIB:94704 MEM:0.59555% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:54.727+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:54.727+00:00] PID:2440969 CPU:5.97% RSS_KIB:120304 MEM:0.75654% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:55.229+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:55.230+00:00] PID:2440969 CPU:0.00% RSS_KIB:120304 MEM:0.75654% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:55.732+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:55.732+00:00] PID:2440969 CPU:0.00% RSS_KIB:120304 MEM:0.75654% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:56.235+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:56.236+00:00] PID:2440969 CPU:0.00% RSS_KIB:120304 MEM:0.75654% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:56.738+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:56.739+00:00] PID:2440969 CPU:0.00% RSS_KIB:120304 MEM:0.75654% STATE:S THREADS:1 WCHAN:do_select
