[2026-09-18T09:07:17.295+00:00] PID:2441496 CPU:NA% RSS_KIB:1920 MEM:0.01207% STATE:R THREADS:1 WCHAN:0
[2026-09-18T09:07:17.796+00:00] PID:2441496 CPU:7.97% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:17.797+00:00] PID:2441509 CPU:NA% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:07:18.299+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:18.300+00:00] PID:2441509 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:07:18.802+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:18.804+00:00] PID:2441509 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:07:19.306+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:19.307+00:00] PID:2441509 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:07:19.809+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:19.809+00:00] PID:2441509 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:07:20.311+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:20.311+00:00] PID:2441509 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:07:20.814+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:20.814+00:00] PID:2441509 CPU:5.97% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:21.317+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:21.317+00:00] PID:2441509 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:21.820+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:21.820+00:00] PID:2441509 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:22.322+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:22.323+00:00] PID:2441509 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:22.825+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:22.825+00:00] PID:2441509 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:23.328+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:23.328+00:00] PID:2441509 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:23.830+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:23.831+00:00] PID:2441509 CPU:5.97% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:24.333+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:24.333+00:00] PID:2441509 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:24.835+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:24.835+00:00] PID:2441509 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
