[2026-09-18T09:08:48.099+00:00] PID:2443156 CPU:NA% RSS_KIB:1920 MEM:0.01207% STATE:D THREADS:1 WCHAN:p9_client_rpc
[2026-09-18T09:08:48.602+00:00] PID:2443156 CPU:7.97% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:48.602+00:00] PID:2443169 CPU:NA% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:49.104+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:49.104+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:49.606+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:49.607+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:50.109+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:50.109+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:50.611+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:50.611+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:51.114+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:51.114+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:51.616+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:51.617+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:52.120+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:52.120+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:52.622+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:52.623+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:53.125+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:53.126+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:53.627+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:53.628+00:00] PID:2443169 CPU:3.98% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:54.130+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:54.130+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:54.632+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:54.633+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:55.135+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:55.135+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:55.638+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:55.639+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:56.142+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:56.142+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:56.645+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:56.645+00:00] PID:2443169 CPU:3.98% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:57.147+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:57.148+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:57.650+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:57.651+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:58.153+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:58.154+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:58.656+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:58.656+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:59.158+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:59.159+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:08:59.661+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:08:59.662+00:00] PID:2443169 CPU:3.98% RSS_KIB:17776 MEM:0.11179% STATE:R THREADS:1 WCHAN:0
