[2026-09-18T09:10:47.873+00:00] PID:2445059 CPU:NA% RSS_KIB:1920 MEM:0.01207% STATE:D THREADS:1 WCHAN:0
[2026-09-18T09:10:48.376+00:00] PID:2445059 CPU:9.96% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:10:48.376+00:00] PID:2445074 CPU:NA% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:10:48.879+00:00] PID:2445059 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:10:48.879+00:00] PID:2445074 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:10:49.382+00:00] PID:2445059 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:10:49.384+00:00] PID:2445074 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:10:49.886+00:00] PID:2445059 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:10:49.887+00:00] PID:2445074 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:10:50.389+00:00] PID:2445059 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:10:50.389+00:00] PID:2445074 CPU:1.99% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:10:50.891+00:00] PID:2445059 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:10:50.892+00:00] PID:2445074 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:10:51.394+00:00] PID:2445059 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:10:51.394+00:00] PID:2445074 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
