[2026-09-18T09:12:50.483+00:00] PID:2447012 CPU:NA% RSS_KIB:1920 MEM:0.01207% STATE:R THREADS:1 WCHAN:p9_client_rpc
[2026-09-18T09:12:50.586+00:00] PID:2447012 CPU:39.29% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:50.587+00:00] PID:2447020 CPU:NA% RSS_KIB:1792 MEM:0.01127% STATE:R THREADS:1 WCHAN:0
[2026-09-18T09:12:50.689+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:50.690+00:00] PID:2447020 CPU:29.01% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:50.791+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:50.792+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:50.894+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:50.895+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:50.997+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:50.998+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:51.100+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:51.100+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:51.203+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:51.204+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:51.306+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:51.306+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:51.408+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:51.409+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:51.511+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:51.511+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:51.613+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:51.614+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:51.716+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:51.717+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:51.819+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:51.819+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:51.922+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:51.922+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:52.025+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:52.025+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:52.127+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:52.128+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:52.230+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:52.230+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:52.333+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:52.334+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:52.437+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:52.437+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:52.539+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:52.540+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:52.642+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:52.642+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:52.744+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:52.745+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:52.847+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:52.847+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:52.950+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:52.950+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:53.053+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:53.054+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:53.156+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:53.156+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:53.258+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:53.258+00:00] PID:2447020 CPU:9.77% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:53.360+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:53.361+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:53.463+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:53.463+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:53.565+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:53.566+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:53.668+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:53.668+00:00] PID:2447020 CPU:0.00% RSS_KIB:17920 MEM:0.11269% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:12:53.771+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:53.771+00:00] PID:2447020 CPU:9.76% RSS_KIB:39040 MEM:0.24551% STATE:S THREADS:2 WCHAN:futex_wait_queue
[2026-09-18T09:12:53.873+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:53.874+00:00] PID:2447020 CPU:19.43% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
