[2026-09-18T09:14:33.656+00:00] PID:2448732 CPU:NA% RSS_KIB:1920 MEM:0.01207% STATE:R THREADS:1 WCHAN:p9_client_rpc
[2026-09-18T09:14:34.158+00:00] PID:2448732 CPU:7.97% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:14:34.158+00:00] PID:2448740 CPU:NA% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:14:34.660+00:00] PID:2448732 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:14:34.661+00:00] PID:2448740 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:14:35.163+00:00] PID:2448732 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:14:35.164+00:00] PID:2448740 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:14:35.666+00:00] PID:2448732 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:14:35.666+00:00] PID:2448740 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:14:36.169+00:00] PID:2448732 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:14:36.169+00:00] PID:2448740 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:14:36.672+00:00] PID:2448732 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:14:36.672+00:00] PID:2448740 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:14:37.174+00:00] PID:2448732 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:14:37.175+00:00] PID:2448740 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:14:37.678+00:00] PID:2448732 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:14:37.679+00:00] PID:2448740 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:14:38.181+00:00] PID:2448732 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
