[2026-09-18T09:17:13.303+00:00] PID:2451248 CPU:NA% RSS_KIB:1792 MEM:0.01127% STATE:D THREADS:1 WCHAN:0
[2026-09-18T09:17:13.805+00:00] PID:2451248 CPU:7.97% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:13.806+00:00] PID:2451259 CPU:NA% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:17:14.307+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:14.308+00:00] PID:2451259 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:17:14.810+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:14.812+00:00] PID:2451259 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:17:15.314+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:15.315+00:00] PID:2451259 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:17:15.817+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:15.818+00:00] PID:2451259 CPU:1.99% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:17:16.320+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:16.320+00:00] PID:2451259 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:17:16.823+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:16.823+00:00] PID:2451259 CPU:3.98% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:17.325+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:17.325+00:00] PID:2451259 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:17.827+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:17.828+00:00] PID:2451259 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:18.330+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:18.331+00:00] PID:2451259 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:18.833+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:18.833+00:00] PID:2451259 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:19.335+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:19.336+00:00] PID:2451259 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:19.839+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:19.839+00:00] PID:2451259 CPU:3.98% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:20.341+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:20.342+00:00] PID:2451259 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
